horodateur,statut_etudiant,annee_etudes,genre,type_commune,niveau_parents,type_bac,mention_bac,filiere,frequence_psyen,motivation_brut,ia_formation,ia_metiers,info_percue,conseil_adapte,preparation_emploi,reoriente,reorientation_brut,raison_reorientation,regret_reorientation,motivation_descriptive,motivation_regression,reorientation_annee,reorientation_niveau,reoriente_bin,ia_formation_bin,ia_metiers_bin,jeune_actif
17/04/2026 15:33:07,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,Lettres / Sciences humaines / Sciences sociales,1 fois,Famille / entourage / réseau,"Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",3,3,3,"Oui, une fois",2021,Inadéquation avec mes aspirations profondes,4,Famille / entourage / réseau,Famille / entourage / réseau,2021,NA,1,1,1,0
17/04/2026 15:34:57,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Bac général,Très bien / Félicitations,Droit / Science politique,Jamais,Famille / entourage / réseau,Non,Non,4,4,3,"Non, je suis toujours dans ma formation initiale",Pas le cas,Autre,3,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
17/04/2026 15:36:04,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,Non,Non,4,4,4,"Non, je suis toujours dans ma formation initiale",Non,Autre,3,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
17/04/2026 15:37:53,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,À l'étranger,Bac+5 et plus,Bac général,Très bien / Félicitations,Sciences / Mathématiques / Informatique,Jamais,Famille / entourage / réseau,Non,Non,4,3,2,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
17/04/2026 15:37:58,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,Économie / Gestion / Commerce,Jamais,Journées portes ouvertes / salons,Non,Non,4,4,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Journées portes ouvertes / salons,Journées portes ouvertes / salons,NA,NA,0,0,0,0
17/04/2026 15:38:50,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,CAP / BEP,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,Non,Non,3,4,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
17/04/2026 15:40:37,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,Non,Non,3,4,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
17/04/2026 15:44:26,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),CAP / BEP,Bac général,Très bien / Félicitations,Sciences / Mathématiques / Informatique,Jamais,"Internet (hors IA) — forums, sites officiels",Non,Non,2,2,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,"Internet (hors IA) — forums, sites officiels","Internet (hors IA) — forums, sites officiels",NA,NA,0,0,0,0
17/04/2026 15:45:10,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,Lettres / Sciences humaines / Sciences sociales,2 à 3 fois,Famille / entourage / réseau,Non,Non,2,2,4,"Oui, plusieurs fois",L1 L3,Difficulté académique,2,Famille / entourage / réseau,Famille / entourage / réseau,NA,L1,1,0,0,0
17/04/2026 15:47:32,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Paris intramuros,Bac+5 et plus,Bac général,Bien,École de commerce / management,Jamais,Famille / entourage / réseau,"Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",3,3,4,"Oui, une fois",Après la L3,Inadéquation avec mes aspirations profondes,2,Famille / entourage / réseau,Famille / entourage / réseau,NA,L3,1,1,1,0
